Invoice No;Date;Allocation;Exclusive Amount;VAT;Inclusive Amount
233/202404/1;01/04/2024;Electricity;879.48;131.92;1011.4
233/202404/1;01/04/2024;Telephone;0.76;0.11;0.87
233/202404/1;01/04/2024;Fax & Printing;2.42;0.36;2.78
233/202404/1;01/04/2024;Training Rent;1080;162;1242
233/202404/1;01/04/2024;Monthly Rent;4066.39;609.96;4676.35
233/202404/1;01/04/2024;Parking;428.46;64.27;492.73
233/202404/1;01/04/2024;Rates;1072.32;160.85;1233.17
233/202404/1;01/04/2024;Levies;2975.67;446.35;3422.02
233/202405/1;01/05/2024;Electricity;1547.05;232.06;1779.11
233/202405/1;01/05/2024;Telephone;16.52;2.48;19
233/202405/1;01/05/2024;Fax & Printing;1.21;0.18;1.39
233/202405/1;01/05/2024;Monthly Rent;4066.39;609.96;4676.35
233/202405/1;01/05/2024;Parking;428.46;64.27;492.73
233/202405/1;01/05/2024;Rates;1072.32;160.85;1233.17
233/202405/1;01/05/2024;Levies;2975.67;446.35;3422.02
233/202406/1;01/06/2024;Electricity;1492.96;223.94;1716.9
233/202406/1;01/06/2024;Diesel;59.27;8.89;68.16
233/202406/1;01/06/2024;Monthly Rent;4066.39;609.96;4676.35
233/202406/1;01/06/2024;Parking;428.46;64.27;492.73
233/202406/1;01/06/2024;Rates;1072.32;160.85;1233.17
233/202406/1;01/06/2024;Levies;2975.67;446.35;3422.02
233/202407/1;01/07/2024;Electricity;1512.4;226.86;1739.26
233/202407/1;01/07/2024;Telephone;363.86;54.58;418.44
233/202407/1;01/07/2024;Fax & Printing;1.54;0.23;1.77
233/202407/1;01/07/2024;Monthly Rent;4066.39;609.96;4676.35
233/202407/1;01/07/2024;Parking;428.46;64.27;492.73
233/202407/1;01/07/2024;Rates;1072.32;160.85;1233.17
233/202407/1;01/07/2024;Levies;2975.67;446.35;3422.02
233/202408/1;01/08/2024;Electricity;1534.93;230.24;1765.17
233/202408/1;01/08/2024;Telephone;111.04;16.66;127.7
233/202408/1;01/08/2024;Generator;254.18;38.13;292.31
233/202408/1;01/08/2024;Monthly Rent;4066.39;609.96;4676.35
233/202408/1;01/08/2024;Parking;428.46;64.27;492.73
233/202408/1;01/08/2024;Rates;1072.32;160.85;1233.17
